epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83502,1.75683,4.09281,1.72912,0.00305,0.29069,0.00813,0.00364,1.50097,3.61588,1.48371,0.00012861,0.00012861,0.00012861
2,12.7378,1.25728,3.16187,1.2392,0.00576,0.37945,0.2177,0.15982,1.2264,3.40943,1.3103,0.000270614,0.000270614,0.000270614
3,15.3837,1.27635,2.40901,1.21811,0.00415,0.37945,0.21043,0.13607,1.31362,3.31145,1.44793,0.000411675,0.000411675,0.000411675
4,17.9652,1.32666,1.87348,1.23157,0.56375,0.05635,0.159,0.09141,1.42515,3.20989,1.53361,0.000551793,0.000551793,0.000551793
5,20.5479,1.21963,1.63253,1.16123,0.84117,0.04158,0.12687,0.07198,1.37039,3.192,1.36481,0.000690967,0.000690967,0.000690967
6,23.0478,1.32735,1.62578,1.1652,0.94728,0.03369,0.15261,0.09546,1.55578,3.27351,1.62329,0.000829199,0.000829199,0.000829199
7,25.4972,1.26383,1.54551,1.17506,0.82847,0.10063,0.1485,0.08882,1.48957,3.08267,1.5151,0.000966487,0.000966487,0.000966487
8,27.9437,1.16211,1.45092,1.12658,0.97021,0.22931,0.45491,0.27556,1.50515,2.57526,1.4455,0.00110283,0.00110283,0.00110283
9,30.4247,1.25138,1.40019,1.17024,0.61752,0.36134,0.55208,0.3208,1.37415,2.101,1.42175,0.00123823,0.00123823,0.00123823
10,32.9388,1.21041,1.37479,1.117,0.53327,0.39063,0.59169,0.35911,1.52186,2.14741,1.43757,0.00137269,0.00137269,0.00137269
11,35.4728,1.21235,1.3384,1.14386,0.62429,0.70028,0.73728,0.41789,1.41729,1.88619,1.4214,0.00138184,0.00138184,0.00138184
12,37.906,1.14907,1.27328,1.108,0.60501,0.77358,0.77796,0.45521,1.40094,1.88283,1.42937,0.00137713,0.00137713,0.00137713
13,40.327,1.22937,1.29475,1.14123,0.70576,0.7882,0.81043,0.46734,1.38573,1.775,1.45598,0.00137241,0.00137241,0.00137241
14,42.785,1.1898,1.24167,1.12945,0.69253,0.85579,0.83944,0.52438,1.27071,1.31686,1.40139,0.0013677,0.0013677,0.0013677
15,45.2416,1.2099,1.20843,1.1089,0.69203,0.8658,0.74471,0.47616,1.25324,1.41463,1.36599,0.00136298,0.00136298,0.00136298
16,47.7654,1.11928,1.19963,1.09396,0.6681,0.82513,0.78831,0.45403,1.35638,1.46689,1.42624,0.00135826,0.00135826,0.00135826
17,50.2297,1.15881,1.22856,1.12741,0.78491,0.87685,0.85692,0.50206,1.37392,1.28816,1.47054,0.00135355,0.00135355,0.00135355
18,52.7025,1.13713,1.21842,1.13085,0.73874,0.80233,0.84811,0.50197,1.35023,1.37803,1.40631,0.00134883,0.00134883,0.00134883
19,55.1461,1.10581,1.12937,1.0804,0.82109,0.80988,0.86839,0.52923,1.29251,1.42671,1.38101,0.00134412,0.00134412,0.00134412
20,57.6137,1.13514,1.10842,1.11647,0.79471,0.83833,0.90674,0.56651,1.28652,1.3426,1.26804,0.0013394,0.0013394,0.0013394
21,60.0879,1.19479,1.13408,1.11564,0.92728,0.75777,0.87529,0.51165,1.38943,1.27212,1.33774,0.00133469,0.00133469,0.00133469
22,62.6499,1.13349,1.0928,1.08428,0.85953,0.8923,0.89522,0.49948,1.45868,1.6005,1.42706,0.00132997,0.00132997,0.00132997
23,65.1749,0.99917,0.97927,1.05498,0.76258,0.81018,0.86587,0.50143,1.49792,1.74208,1.45935,0.00132525,0.00132525,0.00132525
24,67.6775,1.11183,1.02934,1.0976,0.78803,0.80614,0.84959,0.51417,1.44969,1.85163,1.5024,0.00132054,0.00132054,0.00132054
25,70.1277,1.1243,1.02877,1.09321,0.70869,0.87013,0.86553,0.51751,1.38719,1.46182,1.39903,0.00131582,0.00131582,0.00131582
26,72.6011,1.06972,1.00978,1.06598,0.87869,0.82576,0.90896,0.52645,1.42906,1.35735,1.46677,0.00131111,0.00131111,0.00131111
27,75.0767,1.11927,0.96564,1.09842,0.87001,0.90661,0.93679,0.54099,1.36354,1.20352,1.41008,0.00130639,0.00130639,0.00130639
28,77.6432,1.08373,0.90748,1.06751,0.80456,0.87301,0.90405,0.52136,1.40434,1.18562,1.32748,0.00130168,0.00130168,0.00130168
29,80.105,1.11076,0.93168,1.06853,0.82335,0.9319,0.91067,0.53823,1.37782,1.11945,1.30371,0.00129696,0.00129696,0.00129696
30,82.5731,1.10934,0.92668,1.06768,0.87692,0.92963,0.91282,0.55774,1.2836,0.99335,1.23277,0.00129224,0.00129224,0.00129224
31,85.0035,1.04762,0.86769,1.05631,0.86725,0.95595,0.93994,0.57536,1.28279,0.89903,1.19444,0.00128753,0.00128753,0.00128753
32,87.5168,1.01501,0.86623,1.05902,0.89939,0.83078,0.91112,0.56382,1.29995,0.8653,1.22673,0.00128281,0.00128281,0.00128281
33,90.027,1.03539,0.8545,1.05189,0.90299,0.89224,0.94672,0.56562,1.28586,0.89357,1.24795,0.0012781,0.0012781,0.0012781
34,92.5842,1.0015,0.84734,1.05883,0.90271,0.92085,0.95478,0.60192,1.27385,0.80078,1.29451,0.00127338,0.00127338,0.00127338
35,95.0575,1.017,0.82476,1.02444,0.8656,0.91441,0.95458,0.61655,1.27527,0.88414,1.25484,0.00126867,0.00126867,0.00126867
36,97.5812,1.06807,0.81836,1.06218,0.85369,0.89554,0.87491,0.51519,1.43954,0.99122,1.41155,0.00126395,0.00126395,0.00126395
37,100.028,1.06009,0.81375,1.03564,0.8778,0.85121,0.88067,0.52809,1.45715,1.02699,1.3782,0.00125923,0.00125923,0.00125923
38,102.521,1.05531,0.82692,1.06925,0.88727,0.97436,0.96296,0.61723,1.28545,0.8615,1.27301,0.00125452,0.00125452,0.00125452
39,105.053,1.02239,0.7872,1.03152,0.86639,0.96606,0.93648,0.57677,1.28943,0.91546,1.31089,0.0012498,0.0012498,0.0012498
40,107.57,1.01572,0.77505,1.02701,0.84089,0.93378,0.90808,0.58897,1.26369,0.92921,1.24393,0.00124509,0.00124509,0.00124509
41,110.04,1.03849,0.77972,1.04677,0.85884,0.90242,0.88581,0.57651,1.26793,0.88198,1.25475,0.00124037,0.00124037,0.00124037
42,112.52,1.05499,0.79695,1.02774,0.96081,0.86328,0.92941,0.59898,1.30712,0.86934,1.27056,0.00123566,0.00123566,0.00123566
43,114.974,1.03464,0.75462,1.05133,0.9594,0.88158,0.95058,0.61376,1.26512,0.82916,1.26427,0.00123094,0.00123094,0.00123094
44,117.451,1.02281,0.75706,1.02977,0.89417,0.95979,0.9478,0.57885,1.28208,0.88127,1.22452,0.00122622,0.00122622,0.00122622
45,119.97,0.9725,0.74821,1.03945,0.87924,0.97574,0.93951,0.55598,1.34118,0.8842,1.26534,0.00122151,0.00122151,0.00122151
46,122.47,1.01687,0.74877,1.05535,0.91438,0.93058,0.93915,0.59851,1.35067,1.13208,1.33335,0.00121679,0.00121679,0.00121679
47,124.892,1.00495,0.74593,1.04428,0.91302,0.91471,0.94922,0.60884,1.28392,0.92978,1.30434,0.00121208,0.00121208,0.00121208
48,127.408,1.00496,0.72329,1.0185,0.92238,0.87182,0.93762,0.60251,1.31313,0.95012,1.3036,0.00120736,0.00120736,0.00120736
49,129.917,0.991,0.70307,1.01262,0.94174,0.88332,0.93357,0.58717,1.3393,1.08132,1.353,0.00120265,0.00120265,0.00120265
50,132.415,1.00541,0.69839,1.02833,0.90611,0.89883,0.92469,0.56808,1.36358,1.1359,1.36047,0.00119793,0.00119793,0.00119793
51,134.951,1.00669,0.69907,1.04019,0.9239,0.89254,0.91648,0.56676,1.30237,1.05461,1.2753,0.00119322,0.00119322,0.00119322
52,137.483,1.04259,0.70269,1.02806,0.93506,0.89305,0.92541,0.57051,1.31758,1.09529,1.28411,0.0011885,0.0011885,0.0011885
53,139.935,0.99368,0.70606,1.02514,0.95875,0.8871,0.93742,0.58235,1.30134,0.99113,1.32574,0.00118378,0.00118378,0.00118378
54,142.405,0.97013,0.67253,1.02199,0.89101,0.94611,0.95491,0.59205,1.29858,0.9641,1.29916,0.00117907,0.00117907,0.00117907
55,144.878,0.97294,0.66661,1.02927,0.95351,0.89991,0.94563,0.5959,1.28563,0.97495,1.27169,0.00117435,0.00117435,0.00117435
56,147.385,0.98606,0.68385,1.00963,0.93058,0.91471,0.94244,0.60515,1.27929,0.84756,1.24001,0.00116964,0.00116964,0.00116964
57,149.921,1.02847,0.67573,1.02447,0.95356,0.89883,0.9258,0.58657,1.33981,0.83866,1.29247,0.00116492,0.00116492,0.00116492
58,152.414,0.95836,0.64965,1.00159,0.96129,0.91471,0.9292,0.61218,1.18876,0.87245,1.17746,0.00116021,0.00116021,0.00116021
59,154.859,0.92099,0.627,0.99859,0.95358,0.90842,0.93351,0.60661,1.22998,0.97017,1.2281,0.00115549,0.00115549,0.00115549
60,157.357,0.95847,0.67799,1.03695,0.94619,0.93357,0.92794,0.60405,1.21518,0.92783,1.24793,0.00115077,0.00115077,0.00115077
61,159.81,0.97699,0.65273,1.00848,0.96052,0.93099,0.94255,0.61434,1.23102,0.84263,1.24232,0.00114606,0.00114606,0.00114606
62,162.317,0.94333,0.6166,1.01133,0.97403,0.92568,0.94745,0.61707,1.23708,0.86019,1.2255,0.00114134,0.00114134,0.00114134
63,164.825,0.93207,0.62461,0.99486,0.95552,0.92099,0.94467,0.6281,1.24235,0.89517,1.22573,0.00113663,0.00113663,0.00113663
64,167.302,0.9792,0.60448,1.01024,0.91074,0.91471,0.94567,0.60834,1.25409,0.87017,1.22461,0.00113191,0.00113191,0.00113191
65,169.747,0.9449,0.63367,1.02257,0.9548,0.9541,0.97569,0.62966,1.2121,0.77157,1.19022,0.0011272,0.0011272,0.0011272
66,172.244,0.99336,0.63553,1.03587,0.907,0.9138,0.94102,0.61447,1.27622,0.93287,1.28566,0.00112248,0.00112248,0.00112248
67,174.705,0.9392,0.61743,1.01104,0.89823,0.94025,0.94438,0.61729,1.27684,1.00296,1.30273,0.00111776,0.00111776,0.00111776
68,177.26,0.93481,0.60651,1.00445,0.94908,0.96278,0.96102,0.61548,1.29272,0.92125,1.29659,0.00111305,0.00111305,0.00111305
